n= 1.000000 	a= 1.500000 	b= 2.000000 
n= 2.000000 	a= 1.500000 	b= 1.750000 
n= 3.000000 	a= 1.625000 	b= 1.750000 
n= 4.000000 	a= 1.687500 	b= 1.750000 
n= 5.000000 	a= 1.687500 	b= 1.718750 
n= 6.000000 	a= 1.703125 	b= 1.718750 
n= 7.000000 	a= 1.703125 	b= 1.710938 
n= 8.000000 	a= 1.703125 	b= 1.707031 
n= 9.000000 	a= 1.703125 	b= 1.705078 
n= 10.000000 	a= 1.703125 	b= 1.704102 
n= 11.000000 	a= 1.703125 	b= 1.703613 
n= 12.000000 	a= 1.703125 	b= 1.703369 
n= 13.000000 	a= 1.703125 	b= 1.703247 
n= 14.000000 	a= 1.703125 	b= 1.703186 
n= 15.000000 	a= 1.703125 	b= 1.703156 
n= 16.000000 	a= 1.703125 	b= 1.703140 
n= 17.000000 	a= 1.703125 	b= 1.703133 
n= 18.000000 	a= 1.703129 	b= 1.703133 
